Abstraktionsprinzip,Die Unwirksamkeit des dinglichen Geschäftes hat nicht die Unwirksamkeit des Schuldvertrages zur Folge und umgekehrt.
Analogie,"Analogie ist die Übertragung einer für einen Tatbestand vorgesehenen Regel auf einen anderen, aber rechtsähnlichen Tatbestand, der planwidrig nicht geregelt ist (Palandt Einleitung v § 1 Rn. 40)."
Anspruch,Ein Anspruch ist das Recht von einem anderen ein Tun oder Unterlassen zu verlangen (Legaldefinition § 194 I BGB).
Aufrechnung,Die Aufrechnung ist die wechselseitige Tilgung zweier sich gegenüberstehender gleichartiger Forderungen durch Verrechnung auf Grund einer einseitigen rechtsgestaltenden Erklärung (vgl. §§ 387 ff.).
Aufwendungen,"Aufwendungen sind (im Gegensatz zum Schaden) freiwillige Vermögens-opfer im Interesse eines anderen (§§ 256, 670, 683)."
Bringschuld,"Die Bringschuld bezeichnet eine Leistungsverpflichtung, die am Wohnsitz des Gläubigers zu erfüllen ist (§§ 269, 300)."
culpa in contrahendo (c.i.c.),"Das Institut der c. i. c. (§ 280 I 1 i.V.m. §§ 311 II, 241 II) ist eine Haftung, deren Rechtsfolge vor allem Schadensersatzansprüche und Rücktrittsrechte sind und die eingreift, wenn jemand vor oder bei Eingehung eines Vertrages eine vorvertragliche Aufklärungs- oder Schutzpflicht verletzt, ihn ein Verschulden trifft (§§ 276, 278) und dem anderen Teil daraus ein Schaden entstanden ist (=Verschulden beim Vertragsschluss)."
Dauerschuldverhältnis,"Das Schuldverhältnis erstreckt sich auf einen Zeitraum, während dessen ständig neue Leistungs-, Neben- und Schutzpflichten entstehen. Der Schuldner muss ständig leistungsbereit sein."
Einrede,"Eine Einrede ermöglicht es, durch rechtsgestaltende Erklärung die Geltendmachung eines Anspruchs zu verhindern (z. B. §§ 214 I, 273, 320). Die Einrede bedarf der Geltendmachung durch den Einredeberechtigten (Gegensatz: Einwendung)."
Einseitig verpflichtender Vertrag,"Nur eine Partei ist zur Leistung verpflichtet (schließt sonstige Nebenpflichten der anderen Seite nicht aus, z.B. Schutzpflichten)"
Einwendung,"Einwendungen sind Tatsachen, die ein Rechtsverhältnis in seinem Bestand betreffen, d. h. es entweder überhaupt nicht zur Entstehung gelangen lassen (rechtshindernde Einwendungen, z. B. Geschäftsunfähigkeit, Gesetzes- oder Sittenverstoß) oder es wieder vernichten (rechtsvernichtende Einwendungen, z. B. §§ 362 I, 397)."
Einziehungsermächtigung,"Eine Einziehungsermächtigung ist die Erteilung der Befugnis, ein fremdes Recht, insbesondere eine Forderung, in eigenem Namen geltend zu machen (vgl. §§ 362 II, 185 I)."
Erfüllbarkeit,"Erfüllbarkeit bezeichnet den Zeitpunkt, ab dem der Schuldner leisten darf und der Gläubiger die Leistung nicht als verfrüht zurückweisen kann, ohne in Annahmeverzug zu geraten (Gegensatz: Fälligkeit)."
